플랫폼,시간,질문,대응
kakaoi,2021-02-08 16:36,발전소 주변 지역,"1. 발전소 주변지역 주민○ 하동발전본부 : 발전소 착공일(‘93.9.14) 포함 이전 3년 이상 연속 거주한 자 및 그 자녀 (2대 직계비속까지 인정) - 해당지역 : 하동군 금성면, 금남면, 고전면, 남해군 고현면, 설천면○ 삼척발전본부  : 발전소건설을 위한 부지조성공사 착수일(‘11.1.1) 포함 이전 3년 이상 연속 거주한 자 및 그 자녀 (2대 직계비속까지 인정)  - 해당지역 : 삼척시 원덕읍 ///2. 이전 지역인재 채용목표제- 최종학력 기준(대학원 이상 제외)으로 부산광역시에 소재하는 대학 및 고등학교 졸업자 및 졸업예정자 ※ 부산지역 고등학교 졸업 후 다른 지역 대학교 졸업 및 졸업예정자는 대상에서 제외 ※ 본교의 위치와 분교 및 지방캠퍼스의 위치가 다른 경우 분교 및 지방캠퍼스에 위치한 지역인재에 해당  * ex) 부산대학교 양산캠퍼스 학생은 경남의 지역인재에 해당. 부산 이전지역 인재 비해당"
kakaoi,2021-02-08 16:44,증빙서류,"[공통] 모든 증빙은 채용공고 마감일 기준 6개월 이내에 발급된 서류에 한해 유효한 것으로 인정1. 기본증명서, 신원조회진술서 및 개인정보 제공 동의서 1부   * 여분 증명사진 1장 지참- 기본증명서(상세) 원본 1부 (주민등록번호 13자리 기재 필수): 주민센터(방문발급), 대법원 전자가족관계 등록시스템(인터넷 발급)- 신원조회 진술서 및 개인정보제공동의서 작성매뉴얼 참조하여 양식 작성 후 제출 [매뉴얼] [양식]2. 비위면직자 사전조회를 위한 개인정보 제공 및 이용동의서 1부 [양식]3. 최종학교 졸업(예정) 증명서 원본 1부4. 주민등록 초본(병역사항 기재 필수) 또는 전역예정 증명서 원본 1부5. 자격(면허)증 사본 1부(해당자에 한함. 공고마감일 기준 이전 자격증 취득분만 인정)///6. 경력증명서 서류 - (1), (2), (3), (4) 모두 제출(필수)(1) 경력증명서 원본 1부(3년 이상의 ‘PF 업무’ 내용 표출 필수/해당기관 직인날인 필수)(2) 4대보험 중 1개 보험의 자격득실 이력확인서 원본 1부(3) 소득금액증명 원본 1부 : 국세청 발급(4) 개인정보 제공동의서 1부 [양식]※ 폐업회사의 경우 국세청 ‘ 폐업자에 대한 업종동의 정보내역 사실증명서’로 경력대체 가능※ 위 증명내역이 일치하지 않을 경우 근로계약서, 급여 입금내역 등 추가 소명자료를 제출하여야 함7. 장애인 증빙서류 원본 1부(해당자에 한함)8. 저소득층(기초생활수급자, 차상위계층) 증빙서류 원본 1부(해당자에 한함)9. 발전소 주변지역주민 확인서 원본 1부(해당자에 한함)10. 취업보호대상자(국가유공자 등) 증빙서류(취업대상자 증명서) 원본 1부(해당자에 한함)※ 국가유공자(가족) 확인서 인정 불가  ※ 부산 소재 고졸학력만 제시하여 합격 후 부산 외 소재 대졸자(전문대졸 포함)의 학력이 추후 발견될 경우 합격취소 및 징계해고 될 수 있음을 유의해주세요."
kakaoi,2021-02-08 16:44,증빙서류,"[공통] 모든 증빙은 채용공고 마감일 기준 6개월 이내에 발급된 서류에 한해 유효한 것으로 인정1. 기본증명서, 신원조회진술서 및 개인정보 제공 동의서 1부   * 여분 증명사진 1장 지참- 기본증명서(상세) 원본 1부 (주민등록번호 13자리 기재 필수): 주민센터(방문발급), 대법원 전자가족관계 등록시스템(인터넷 발급)- 신원조회 진술서 및 개인정보제공동의서 작성매뉴얼 참조하여 양식 작성 후 제출 [매뉴얼] [양식]2. 비위면직자 사전조회를 위한 개인정보 제공 및 이용동의서 1부 [양식]3. 최종학교 졸업(예정) 증명서 원본 1부4. 주민등록 초본(병역사항 기재 필수) 또는 전역예정 증명서 원본 1부5. 자격(면허)증 사본 1부(해당자에 한함. 공고마감일 기준 이전 자격증 취득분만 인정)///6. 경력증명서 서류 - (1), (2), (3), (4) 모두 제출(필수)(1) 경력증명서 원본 1부(3년 이상의 ‘PF 업무’ 내용 표출 필수/해당기관 직인날인 필수)(2) 4대보험 중 1개 보험의 자격득실 이력확인서 원본 1부(3) 소득금액증명 원본 1부 : 국세청 발급(4) 개인정보 제공동의서 1부 [양식]※ 폐업회사의 경우 국세청 ‘ 폐업자에 대한 업종동의 정보내역 사실증명서’로 경력대체 가능※ 위 증명내역이 일치하지 않을 경우 근로계약서, 급여 입금내역 등 추가 소명자료를 제출하여야 함7. 장애인 증빙서류 원본 1부(해당자에 한함)8. 저소득층(기초생활수급자, 차상위계층) 증빙서류 원본 1부(해당자에 한함)9. 발전소 주변지역주민 확인서 원본 1부(해당자에 한함)10. 취업보호대상자(국가유공자 등) 증빙서류(취업대상자 증명서) 원본 1부(해당자에 한함)///※ 국가유공자(가족) 확인서 인정 불가  ※ 부산 소재 고졸학력만 제시하여 합격 후 부산 외 소재 대졸자(전문대졸 포함)의 학력이 추후 발견될 경우 합격취소 및 징계해고 될 수 있음을 유의해주세요."
kakaoi,2021-02-08 16:49,채용시 결격사유,"채용 결격사유는 당사의 인사관리규정 제10조(신규채용자의 결격사유)를 확인해 주세요.그외 지원서 허위작성, 증빙서 위·변조 및 각 전형단계의 부정행위자(채용비리 등)는 불합격 처리 됩니다.[인사관리규정 제10조(신규채용자의 결격사유)]다음 각 호의 1에 해당하는 자는 직원으로 채용할 수 없다.1.피성년후견인 또는 피한정후견인 2. 파산자(破産者)로서 복권되지 아니한 자3. 금고(禁錮) 이상의 형을 받고 그 집행이 종료되거나 집행을 받지 아니하기로 확정된 후 5년을 경과하지 아니한 자4. 금고(禁錮) 이상의 형을 받고 그 집행유예기간이 만료된 날로부터 2년을 경과하지 아니한 자5. 금고(禁錮) 이상의 형의 선고유예를 받은 경우에 그 선고유예 기간 중에 있는 자6. 징계(懲戒)에 의하여 해임의 처분을 받은 때로부터 5년을 경과하지 아니한 자7. 법원의 판결 또는 법률에 의하여 자격이 상실 또는 정지된 자8. 불량한 소행의 사실이 있는 자(신원조회 결과 특이사항이 발견된 자 등) 또는 비위로 인한 면직사실이 있는 자9. 병역기피의 사실이 있는 자10. 제9조의 규정에 따른 입사제출서류에 허위사실이 발견된 자11. 신체검사 결과 불합격으로 판정된 자12.「부패방지 및 국민권익위원회의 설치와 운영에 관한 법률」제82조에 따른 비위면직자 등의 취업제한 적용을 받는 자 13. 공무원 또는 「공공기관의 운영에 관한 법률」에서 정한 공공기관에서 부정한 방법으로 채용된 사실이 적발되어 채용 취소 처분을 받은 때로부터 5년이 지나지 아니한 자 14.「성폭력범죄의 처벌 등에 관한 특례법」 제2조에 규정된 죄를 범한 사람으로서 100만원 이상의 벌금형을 선고받고 그 형이 확정된 후 3년이 지나지 아니한 자15. 미성년자에 대한 다음 각 목의 어느 하나에 해당하는 죄를 저질러 파면 해임되거나 형 또는 치료감호를 선고받아 그 형 또는 치료감호가 확정된 자(집행유예를 선고받은 후 그 집행유예기간이 경과한 자를 포함한다)가.「성폭력범죄의 처벌"
kakaoi,2021-02-08 16:51,채용시 결격사유,"채용 결격사유는 당사의 인사관리규정 제10조(신규채용자의 결격사유)를 확인해 주세요.그외 지원서 허위작성, 증빙서 위·변조 및 각 전형단계의 부정행위자(채용비리 등)는 불합격 처리 됩니다.[인사관리규정 제10조(신규채용자의 결격사유)]다음 각 호의 1에 해당하는 자는 직원으로 채용할 수 없다.1.피성년후견인 또는 피한정후견인 2. 파산자(破産者)로서 복권되지 아니한 자3. 금고(禁錮) 이상의 형을 받고 그 집행이 종료되거나 집행을 받지 아니하기로 확정된 후 5년을 경과하지 아니한 자4. 금고(禁錮) 이상의 형을 받고 그 집행유예기간이 만료된 날로부터 2년을 경과하지 아니한 자///5. 금고(禁錮) 이상의 형의 선고유예를 받은 경우에 그 선고유예 기간 중에 있는 자6. 징계(懲戒)에 의하여 해임의 처분을 받은 때로부터 5년을 경과하지 아니한 자7. 법원의 판결 또는 법률에 의하여 자격이 상실 또는 정지된 자8. 불량한 소행의 사실이 있는 자(신원조회 결과 특이사항이 발견된 자 등) 또는 비위로 인한 면직사실이 있는 자9. 병역기피의 사실이 있는 자10. 제9조의 규정에 따른 입사제출서류에 허위사실이 발견된 자11. 신체검사 결과 불합격으로 판정된 자12.「부패방지 및 국민권익위원회의 설치와 운영에 관한 법률」제82조에 따른 비위면직자 등의 취업제한 적용을 받는 자 13. 공무원 또는 「공공기관의 운영에 관한 법률」에서 정한 공공기관에서 부정한 방법으로 채용된 사실이 적발되어 채용 취소 처분을 받은 때로부터 5년이 지나지 아니한 자 14.「성폭력범죄의 처벌 등에 관한 특례법」 제2조에 규정된 죄를 범한 사람으로서 100만원 이상의 벌금형을 선고받고 그 형이 확정된 후 3년이 지나지 아니한 자15. 미성년자에 대한 다음 각 목의 어느 하나에 해당하는 죄를 저질러 파면 해임되거나 형 또는 치료감호를 선고받아 그 형 또는 치료감호가 확정된 자(집행유예를 선고받은 후 그 집행유예기간이 경과한 자를 포함한다)가.「성폭력범죄의 처벌"
kakaoi,2021-02-08 16:51,채용시 결격사유,"채용 결격사유는 당사의 인사관리규정 제10조(신규채용자의 결격사유)를 확인해 주세요.그외 지원서 허위작성, 증빙서 위·변조 및 각 전형단계의 부정행위자(채용비리 등)는 불합격 처리 됩니다.[인사관리규정 제10조(신규채용자의 결격사유)]다음 각 호의 1에 해당하는 자는 직원으로 채용할 수 없다.1.피성년후견인 또는 피한정후견인 2. 파산자(破産者)로서 복권되지 아니한 자3. 금고(禁錮) 이상의 형을 받고 그 집행이 종료되거나 집행을 받지 아니하기로 확정된 후 5년을 경과하지 아니한 자4. 금고(禁錮) 이상의 형을 받고 그 집행유예기간이 만료된 날로부터 2년을 경과하지 아니한 자///5. 금고(禁錮) 이상의 형의 선고유예를 받은 경우에 그 선고유예 기간 중에 있는 자6. 징계(懲戒)에 의하여 해임의 처분을 받은 때로부터 5년을 경과하지 아니한 자7. 법원의 판결 또는 법률에 의하여 자격이 상실 또는 정지된 자8. 불량한 소행의 사실이 있는 자(신원조회 결과 특이사항이 발견된 자 등) 또는 비위로 인한 면직사실이 있는 자9. 병역기피의 사실이 있는 자10. 제9조의 규정에 따른 입사제출서류에 허위사실이 발견된 자11. 신체검사 결과 불합격으로 판정된 자///12.「부패방지 및 국민권익위원회의 설치와 운영에 관한 법률」제82조에 따른 비위면직자 등의 취업제한 적용을 받는 자 13. 공무원 또는 「공공기관의 운영에 관한 법률」에서 정한 공공기관에서 부정한 방법으로 채용된 사실이 적발되어 채용 취소 처분을 받은 때로부터 5년이 지나지 아니한 자 14.「성폭력범죄의 처벌 등에 관한 특례법」 제2조에 규정된 죄를 범한 사람으로서 100만원 이상의 벌금형을 선고받고 그 형이 확정된 후 3년이 지나지 아니한 자15. 미성년자에 대한 다음 각 목의 어느 하나에 해당하는 죄를 저질러 파면 해임되거나 형 또는 치료감호를 선고받아 그 형 또는 치료감호가 확정된 자(집행유예를 선고받은 후 그 집행유예기간이 경과한 자를 포함한다)가.「성폭력범죄의 처벌"
kakaoi,2021-02-08 16:55,증빙서류,"[공통] 모든 증빙은 채용공고 마감일 기준 6개월 이내에 발급된 서류에 한해 유효한 것으로 인정1. 기본증명서, 신원조회진술서 및 개인정보 제공 동의서 1부* 여분 증명사진 1장 지참- 기본증명서(상세) 원본 1부 (주민등록번호 13자리 기재 필수): 주민센터(방문발급), 대법원 전자가족관계 등록시스템(인터넷 발급)- 신원조회 진술서 및 개인정보제공동의서 작성매뉴얼 참조하여 양식 작성 후 제출 [매뉴얼] [양식]2. 비위면직자 사전조회를 위한 개인정보 제공 및 이용동의서 1부 [양식]3. 최종학교 졸업(예정) 증명서 원본 1부4. 주민등록 초본(병역사항 기재 필수) 또는 전역예정 증명서 원본 1부5. 자격(면허)증 사본 1부(해당자에 한함. 공고마감일 기준 이전 자격증 취득분만 인정)///6. 경력증명서 서류 - (1), (2), (3), (4) 모두 제출(필수)(1) 경력증명서 원본 1부(3년 이상의 ‘PF 업무’ 내용 표출 필수/해당기관 직인날인 필수)(2) 4대보험 중 1개 보험의 자격득실 이력확인서 원본 1부(3) 소득금액증명 원본 1부 : 국세청 발급(4) 개인정보 제공동의서 1부 [양식]※ 폐업회사의 경우 국세청 ‘ 폐업자에 대한 업종동의 정보내역 사실증명서’로 경력대체 가능※ 위 증명내역이 일치하지 않을 경우 근로계약서, 급여 입금내역 등 추가 소명자료를 제출하여야 함7. 장애인 증빙서류 원본 1부(해당자에 한함)8. 저소득층(기초생활수급자, 차상위계층) 증빙서류 원본 1부(해당자에 한함)9. 발전소 주변지역주민 확인서 원본 1부(해당자에 한함)10. 취업보호대상자(국가유공자 등) 증빙서류(취업대상자 증명서) 원본 1부(해당자에 한함)///※ 국가유공자(가족) 확인서 인정 불가  ※ 부산 소재 고졸학력만 제시하여 합격 후 부산 외 소재 대졸자(전문대졸 포함)의 학력이 추후 발견될 경우 합격취소 및 징계해고 될 수 있음을 유의해주세요."
kakaoi,2021-02-08 16:56,결격사유,
kakaoi,2021-02-08 16:59,결격사유,
kakaoi,2021-02-08 17:00,부정합격자,
